Period,Age
PaleoAtlas,0
Last Glacial Maximum,1
Pliocene,5.33
Messinian,7.246
Late Miocene,11.63
Middle Miocene,15.97
Early Miocene,23.03
Late Oligocene,28.1
Early Oligocene,33.9
Late Eocene,37.8
Middle Eocene,47.8
Early Middle Eocene,48.6
Early Eocene,56
Paleocene – Eocene Thermal Maximum (PETM),56
Paleocene,66
"Cretaceous – Paleogene boundary",66
Maastrichtian,72.1
Late Campanian,83.6
Early Campanian,89.8
Turonian,93.9
Cenomanian,100.5
Late Albian,105.8
Middle Albian,112
Early Albian,113
Late Aptian,125
Early Aptian,125
Barremian,129.4
Hauterivian,132.9
Valanginian,139.8
Berriasian,145
Jurassic – Cretaceous Boundary,145
Tithonian,152.1
Kimmeridgian,157.3
Oxfordian,163.5
Callovian,166.1
Bajocian & Bathonian,168.3
Aalenian,174.1
Toarcian,182.7
Pliensbachian,190.8
Sinemurian,199.3
Hettangian,201.3
Triassic – Jurassic Boundary,201.3
Norian,227
Carnian,237
Ladinian,242
Anisian,247
Induan – Olenekian,251.9
Permo – Triassic Boundary,251.9
Lopingian,259.1
Capitanian,265.1
Roadian & Wordian,272.3
Kungurian,279.3
Artinskian,290.1
Sakmarian,295.8
Asselian,298.9
Gzhelian,303.7
Kasimovian,307
Moscovian,315.2
Bashkirian,318.1
Serpukhovian,323.2
Late Visean,330.9
Early Visean,346.7
Tournaisian,358.9
Devono – Carboniferous Boundary,358.9
Famennian,372.2
Frasnian,382.7
Givetian,387.7
Eifelian,393.3
Emsian,407.6
Pragian,410.8
Lochlovian,416
Ludlow & Pridoli,423
Wenlock,428.2
Late Llandovery,433.4
Early Llandovery,443.8
Hirnantian,445.6
Sandbian – Katian,458.4
Caradoc,461.3
Darriwilian,467.3
Floian-Dapingian,477.7
Tremadoc,485.4
Cambro – Ordovician Boundary,488.3
Furongian,497
Early Late Cambrian Series,509
Middle Cambrian Series,521
Early Cambrian Terreneuvian,541
Precambrian – Cambrian Boundary,541
Middle Ediacaran,600
Late Cryogenian,720
Middle Cryogenian,750